order_id,items_used,balance_spent,order_date
0,Green Tea (add Honey Jelly); Iced Thai Tea (add Pudding); Green Honey Tea,17.75,2024-10-01 09:07:30
1,Fresh Matcha (add Pudding); Coffee Milk Tea (add Honey Jelly); Coffee Crema,20.5,2024-10-01 09:08:15
2,Oolong Tea,4.65,2024-10-01 09:12:00
3,Fresh Matcha (add Honey Jelly); Coffee Milk Tea,13.25,2024-10-01 09:12:45
4,Lemonade,5.2,2024-10-01 09:16:30
5,Fresh Matcha (add Pudding); Peach Tea,13.25,2024-10-01 09:24:00
6,Coffee Milk Tea,6.25,2024-10-01 09:27:45
7,Fresh Matcha (add Ice Cream); Halo Halo; Strawberry Matcha,20.7,2024-10-01 09:30:00
8,Lemonade (add Pudding); Strawberry Matcha,12.45,2024-10-01 09:32:15
9,Strawberry Matcha (add Honey Jelly); Pearl Milk Tea; Black Honey Tea; Iced Thai Tea,24.65,2024-10-01 09:33:00
10,Halo Halo; Black Honey Tea; Tiger Boba; Tiger Boba; Peach Tea,31.05,2024-10-01 09:39:45
11,Thai Pearl Milk Tea; Peach Tea; Green Honey Tea,17.35,2024-10-01 09:49:30
12,Peach Tea (add Honey Jelly); Coffee Crema (add Boba Pearls); Halo Halo,21.2,2024-10-01 09:51:00
13,Halo Halo (add Ice Cream); Coffee Crema,14.45,2024-10-01 09:55:30
14,Halo Halo (add Boba Pearls); Iced Thai Tea,14.45,2024-10-01 10:14:15
15,Green Honey Tea,4.85,2024-10-01 10:16:30
16,Pearl Milk Tea (add Pudding); Green Tea; Iced Thai Tea,17.95,2024-10-01 10:24:45
17,Black Tea; Thai Pearl Milk Tea,10.9,2024-10-01 10:27:00
18,Peach Tea,6.25,2024-10-01 10:33:45
19,Thai Pearl Milk Tea; Coffee Milk Tea; Green Honey Tea; Fresh Matcha,23.6,2024-10-01 10:39:45
20,Pearl Milk Tea (add Honey Jelly); Green Tea; Coffee Milk Tea; Coffee Milk Tea,23.7,2024-10-01 10:41:15
21,Coffee Milk Tea (add Boba Pearls); Thai Pearl Milk Tea; Fresh Matcha; Strawberry Matcha,26.0,2024-10-01 10:51:45
22,Black Honey Tea; Fresh Matcha,11.1,2024-10-01 10:54:45
23,Fresh Matcha (add Pudding); Fresh Matcha (add Honey Jelly); Coffee Milk Tea (add Ice Cream); Strawberry Matcha; Fresh Matcha,34.0,2024-10-01 10:57:45
24,Tiger Boba,6.5,2024-10-01 11:00:00
25,Green Tea,4.65,2024-10-01 11:03:00
26,Thai Pearl Milk Tea; Black Honey Tea; Tiger Boba; Pearl Milk Tea; Green Tea,28.05,2024-10-01 11:16:30
27,Oolong Tea,4.65,2024-10-01 11:18:00
28,Lemonade,5.2,2024-10-01 11:24:45
29,Pearl Milk Tea; Peach Tea; Strawberry Matcha; Lemonade; Peach Tea,30.0,2024-10-01 11:25:30
30,Coffee Crema (add Pudding); Iced Thai Tea (add Boba Pearls); Halo Halo; Lemonade; Strawberry Matcha,33.4,2024-10-01 11:27:45
31,Green Honey Tea,4.85,2024-10-01 11:39:45
32,Oolong Tea (add Ice Cream); Thai Pearl Milk Tea; Oolong Tea,16.55,2024-10-01 11:42:00
33,Black Tea,4.65,2024-10-01 11:47:15
34,Black Tea; Green Honey Tea,9.5,2024-10-01 11:51:00
35,Green Tea (add Honey Jelly); Iced Thai Tea (add Pudding); Black Honey Tea (add Pudding); Oolong Tea,23.15,2024-10-01 11:53:15
36,Green Tea (add Ice Cream); Strawberry Matcha (add Boba Pearls); Black Tea (add Pudding); Peach Tea; Tiger Boba,31.05,2024-10-01 11:56:15
37,Green Honey Tea (add Pudding); Lemonade (add Boba Pearls); Oolong Tea; Green Tea,20.85,2024-10-01 11:57:00
38,Iced Thai Tea (add Pudding); Iced Thai Tea; Coffee Crema; Lemonade,25.95,2024-10-01 12:03:00
39,Pearl Milk Tea (add Pudding); Black Tea (add Ice Cream); Lemonade (add Pudding); Coffee Crema,24.65,2024-10-01 12:03:45
40,Fresh Matcha,6.25,2024-10-01 12:06:00
41,Green Tea (add Boba Pearls); Strawberry Matcha,11.9,2024-10-01 12:07:30
42,Thai Pearl Milk Tea; Green Tea; Thai Pearl Milk Tea,17.15,2024-10-01 12:08:15
43,Oolong Tea,4.65,2024-10-01 12:09:00
44,Strawberry Matcha (add Honey Jelly); Lemonade; Oolong Tea; Oolong Tea; Black Honey Tea,26.6,2024-10-01 12:11:15
45,Pearl Milk Tea; Thai Pearl Milk Tea; Peach Tea,18.3,2024-10-01 12:12:45
46,Fresh Matcha; Black Honey Tea; Thai Pearl Milk Tea; Coffee Crema; Black Honey Tea,28.7,2024-10-01 12:13:30
47,Peach Tea (add Boba Pearls); Green Honey Tea (add Ice Cream); Tiger Boba; Thai Pearl Milk Tea,25.6,2024-10-01 12:15:00
48,Black Tea (add Ice Cream); Tiger Boba (add Pudding); Green Honey Tea (add Boba Pearls); Peach Tea,24.75,2024-10-01 12:15:45
49,Oolong Tea,4.65,2024-10-01 12:21:45
50,Lemonade,5.2,2024-10-01 12:22:30
51,Green Honey Tea (add Boba Pearls); Fresh Matcha (add Ice Cream); Green Tea,17.5,2024-10-01 12:27:00
52,Coffee Crema; Coffee Milk Tea,12.75,2024-10-01 12:33:00
53,Coffee Milk Tea,6.25,2024-10-01 12:33:45
54,Black Tea (add Boba Pearls); Green Honey Tea,10.25,2024-10-01 12:36:45
55,Iced Thai Tea (add Ice Cream); Lemonade,12.95,2024-10-01 12:39:45
56,Peach Tea (add Ice Cream); Thai Pearl Milk Tea (add Honey Jelly); Pearl Milk Tea (add Honey Jelly); Peach Tea; Black Tea,31.7,2024-10-01 12:40:30
57,Black Tea,4.65,2024-10-01 12:45:45
58,Iced Thai Tea (add Boba Pearls); Fresh Matcha (add Ice Cream); Coffee Milk Tea (add Boba Pearls); Lemonade; Coffee Milk Tea,33.2,2024-10-01 12:49:30
59,Halo Halo; Coffee Crema; Coffee Milk Tea,19.7,2024-10-01 12:57:00
60,Strawberry Matcha (add Boba Pearls); Green Tea (add Pudding); Thai Pearl Milk Tea (add Pudding); Green Tea,24.3,2024-10-01 12:57:45
61,Strawberry Matcha; Tiger Boba; Lemonade; Green Honey Tea; Halo Halo,30.0,2024-10-01 13:05:15
62,Halo Halo (add Ice Cream); Thai Pearl Milk Tea (add Honey Jelly); Iced Thai Tea,21.7,2024-10-01 13:07:30
63,Tiger Boba; Iced Thai Tea; Oolong Tea; Coffee Milk Tea; Strawberry Matcha,30.65,2024-10-01 13:08:15
64,Lemonade (add Boba Pearls); Tiger Boba (add Ice Cream); Coffee Crema; Thai Pearl Milk Tea,26.2,2024-10-01 13:11:15
65,Black Tea (add Ice Cream); Black Tea (add Boba Pearls); Coffee Milk Tea (add Pudding); Peach Tea; Coffee Crema,30.8,2024-10-01 13:13:30
66,Green Honey Tea,4.85,2024-10-01 13:17:15
67,Coffee Crema,6.5,2024-10-01 13:21:00
68,Thai Pearl Milk Tea (add Pudding); Thai Pearl Milk Tea,13.25,2024-10-01 13:24:00
69,Green Tea (add Pudding); Iced Thai Tea,12.15,2024-10-01 13:37:30
70,Fresh Matcha,6.25,2024-10-01 13:42:00
71,Black Honey Tea (add Honey Jelly); Thai Pearl Milk Tea (add Boba Pearls); Peach Tea,18.85,2024-10-01 13:43:30
72,Oolong Tea (add Ice Cream); Lemonade; Green Tea; Halo Halo; Tiger Boba,28.95,2024-10-01 13:46:30
73,Coffee Milk Tea,6.25,2024-10-01 13:48:00
74,Black Honey Tea,4.85,2024-10-01 13:54:00
75,Green Tea (add Honey Jelly); Green Honey Tea (add Ice Cream); Black Honey Tea,16.1,2024-10-01 13:57:00
76,Strawberry Matcha (add Boba Pearls); Oolong Tea (add Pudding); Green Tea; Lemonade; Coffee Crema,29.0,2024-10-01 14:01:30
77,Black Honey Tea (add Pudding); Thai Pearl Milk Tea; Lemonade; Tiger Boba; Iced Thai Tea,30.3,2024-10-01 14:10:30
78,Lemonade (add Pudding); Green Honey Tea (add Pudding); Tiger Boba (add Honey Jelly); Oolong Tea; Oolong Tea,28.1,2024-10-01 14:13:30
79,Pearl Milk Tea; Black Honey Tea,10.65,2024-10-01 14:19:30
80,Black Honey Tea (add Honey Jelly); Green Tea,10.25,2024-10-01 14:21:00
81,Pearl Milk Tea,5.8,2024-10-01 14:23:15
82,Tiger Boba; Peach Tea,12.75,2024-10-01 14:28:30
83,Green Tea (add Honey Jelly); Halo Halo; Pearl Milk Tea; Halo Halo; Black Tea,29.75,2024-10-01 14:42:00
84,Green Honey Tea,4.85,2024-10-01 14:44:15
85,Iced Thai Tea; Pearl Milk Tea; Thai Pearl Milk Tea; Halo Halo; Oolong Tea,30.4,2024-10-01 14:46:30
86,Iced Thai Tea (add Pudding); Coffee Crema,14.0,2024-10-01 14:51:45
87,Coffee Milk Tea (add Ice Cream); Black Honey Tea (add Boba Pearls); Green Tea; Coffee Crema; Oolong Tea,28.65,2024-10-01 14:52:30
88,Pearl Milk Tea (add Ice Cream); Iced Thai Tea (add Pudding); Thai Pearl Milk Tea,20.55,2024-10-01 14:56:15
89,Pearl Milk Tea; Strawberry Matcha,12.3,2024-10-01 15:02:15
90,Thai Pearl Milk Tea (add Honey Jelly); Green Honey Tea,11.85,2024-10-01 15:03:45
91,Coffee Crema; Green Tea; Coffee Crema; Black Honey Tea,22.5,2024-10-01 15:04:30
92,Thai Pearl Milk Tea (add Boba Pearls); Peach Tea (add Boba Pearls); Strawberry Matcha (add Boba Pearls); Iced Thai Tea,28.0,2024-10-01 15:10:30
93,Tiger Boba,6.5,2024-10-01 15:12:00
94,Halo Halo; Thai Pearl Milk Tea; Black Tea; Halo Halo; Strawberry Matcha,31.3,2024-10-01 15:16:30
95,Lemonade; Green Honey Tea,10.05,2024-10-01 15:18:00
96,Peach Tea,6.25,2024-10-01 15:23:15
97,Fresh Matcha (add Pudding); Coffee Milk Tea,13.25,2024-10-01 15:29:15
98,Black Honey Tea (add Ice Cream); Lemonade (add Honey Jelly); Iced Thai Tea,18.55,2024-10-01 15:32:15
99,Peach Tea; Halo Halo,13.2,2024-10-01 15:34:30
100,Black Tea (add Pudding); Black Honey Tea; Strawberry Matcha,16.75,2024-10-01 15:38:15
101,Green Honey Tea; Lemonade; Green Tea; Peach Tea; Black Tea,25.6,2024-10-01 15:39:45
102,Black Honey Tea (add Honey Jelly); Peach Tea (add Ice Cream); Pearl Milk Tea; Iced Thai Tea; Thai Pearl Milk Tea,31.65,2024-10-01 15:45:00
103,Black Honey Tea (add Boba Pearls); Black Honey Tea; Oolong Tea,15.1,2024-10-01 15:49:30
104,Pearl Milk Tea; Oolong Tea,10.45,2024-10-01 15:57:00
105,Peach Tea (add Honey Jelly); Fresh Matcha (add Pudding); Green Tea,18.65,2024-10-01 15:58:30
106,Coffee Milk Tea (add Ice Cream); Coffee Milk Tea (add Pudding); Thai Pearl Milk Tea (add Honey Jelly); Lemonade; Tiger Boba,32.95,2024-10-01 15:59:15
107,Coffee Crema (add Ice Cream); Coffee Milk Tea; Coffee Milk Tea; Black Honey Tea; Green Honey Tea,29.7,2024-10-01 16:04:30
108,Black Tea; Halo Halo,11.6,2024-10-01 16:06:00
109,Tiger Boba (add Pudding); Coffee Milk Tea,13.5,2024-10-01 16:11:15
110,Black Honey Tea (add Honey Jelly); Iced Thai Tea (add Pudding); Black Tea,17.75,2024-10-01 16:12:00
111,Halo Halo; Fresh Matcha; Peach Tea; Lemonade,24.65,2024-10-01 16:15:00
112,Pearl Milk Tea (add Boba Pearls); Coffee Crema (add Ice Cream); Strawberry Matcha,20.55,2024-10-01 16:15:45
113,Black Honey Tea; Iced Thai Tea; Green Honey Tea,16.45,2024-10-01 16:25:30
114,Coffee Crema (add Pudding); Lemonade; Strawberry Matcha,18.95,2024-10-01 16:31:30
115,Green Honey Tea (add Pudding); Thai Pearl Milk Tea (add Boba Pearls); Lemonade (add Pudding); Coffee Crema; Coffee Milk Tea,31.3,2024-10-01 16:40:30
116,Halo Halo (add Ice Cream); Halo Halo,14.9,2024-10-01 16:45:45
117,Coffee Crema,6.5,2024-10-01 16:50:15
118,Green Honey Tea; Black Honey Tea; Tiger Boba; Green Tea; Oolong Tea,25.5,2024-10-01 16:53:15
119,Green Tea (add Boba Pearls); Halo Halo (add Ice Cream); Black Honey Tea; Thai Pearl Milk Tea,24.45,2024-10-01 16:54:45
120,Strawberry Matcha; Green Honey Tea; Peach Tea,17.6,2024-10-01 16:57:00
121,Strawberry Matcha (add Honey Jelly); Green Tea; Coffee Milk Tea; Thai Pearl Milk Tea; Oolong Tea,29.05,2024-10-02 09:01:30
122,Oolong Tea (add Boba Pearls); Thai Pearl Milk Tea,11.65,2024-10-02 09:06:00
123,Oolong Tea (add Honey Jelly); Black Honey Tea (add Pudding); Coffee Milk Tea,17.25,2024-10-02 09:06:45
124,Tiger Boba (add Honey Jelly); Peach Tea,13.5,2024-10-02 09:07:30
125,Halo Halo (add Boba Pearls); Lemonade; Thai Pearl Milk Tea; Green Tea,23.8,2024-10-02 09:11:15
126,Strawberry Matcha,6.5,2024-10-02 09:16:30
127,Green Honey Tea,4.85,2024-10-02 09:19:30
128,Tiger Boba (add Ice Cream); Iced Thai Tea (add Honey Jelly); Green Honey Tea (add Ice Cream); Strawberry Matcha; Strawberry Matcha,33.85,2024-10-02 09:20:15
129,Pearl Milk Tea,5.8,2024-10-02 09:22:30
130,Lemonade,5.2,2024-10-02 09:28:30
131,Black Honey Tea (add Pudding); Thai Pearl Milk Tea,11.85,2024-10-02 09:30:00
132,Peach Tea (add Boba Pearls); Iced Thai Tea (add Ice Cream); Black Tea; Fresh Matcha; Pearl Milk Tea,31.45,2024-10-02 09:31:30
133,Black Honey Tea (add Ice Cream); Thai Pearl Milk Tea; Green Honey Tea; Tiger Boba; Coffee Milk Tea,29.7,2024-10-02 09:32:15
134,Iced Thai Tea,6.75,2024-10-02 09:42:45
135,Black Honey Tea (add Boba Pearls); Lemonade (add Boba Pearls); Coffee Milk Tea,17.8,2024-10-02 09:46:30
136,Green Tea; Peach Tea,10.9,2024-10-02 09:48:45
137,Halo Halo,6.95,2024-10-02 09:57:00
138,Pearl Milk Tea; Tiger Boba,12.3,2024-10-02 10:04:30
139,Fresh Matcha (add Ice Cream); Coffee Milk Tea (add Ice Cream); Peach Tea,20.75,2024-10-02 10:10:30
140,Fresh Matcha (add Pudding); Black Tea (add Pudding); Green Tea,17.05,2024-10-02 10:21:00
141,Green Tea (add Pudding); Green Honey Tea (add Boba Pearls); Halo Halo (add Ice Cream); Lemonade; Halo Halo,31.1,2024-10-02 10:25:30
142,Green Honey Tea,4.85,2024-10-02 10:48:45
143,Pearl Milk Tea (add Ice Cream); Black Tea; Strawberry Matcha,17.95,2024-10-02 10:54:00
144,Coffee Milk Tea (add Pudding); Pearl Milk Tea,12.8,2024-10-02 10:57:00
145,Pearl Milk Tea (add Pudding); Fresh Matcha; Iced Thai Tea,19.55,2024-10-02 10:58:30
146,Fresh Matcha (add Pudding); Green Tea (add Pudding); Tiger Boba (add Ice Cream); Coffee Milk Tea,26.15,2024-10-02 11:00:00
147,Coffee Milk Tea (add Boba Pearls); Fresh Matcha,13.25,2024-10-02 11:00:45
148,Thai Pearl Milk Tea (add Boba Pearls); Green Tea,11.65,2024-10-02 11:07:30
149,Black Honey Tea (add Ice Cream); Strawberry Matcha,12.35,2024-10-02 11:12:00
150,Black Tea (add Boba Pearls); Thai Pearl Milk Tea (add Ice Cream); Halo Halo; Fresh Matcha; Black Honey Tea,30.7,2024-10-02 11:13:30
151,Lemonade; Halo Halo; Peach Tea; Lemonade,23.6,2024-10-02 11:14:15
152,Coffee Crema (add Boba Pearls); Strawberry Matcha,13.75,2024-10-02 11:15:00
153,Green Honey Tea (add Pudding); Coffee Milk Tea (add Boba Pearls); Fresh Matcha (add Boba Pearls); Lemonade; Green Honey Tea,29.65,2024-10-02 11:17:15
154,Lemonade,5.2,2024-10-02 11:18:00
155,Tiger Boba (add Boba Pearls); Strawberry Matcha; Coffee Milk Tea,20.0,2024-10-02 11:21:00
156,Fresh Matcha (add Boba Pearls); Fresh Matcha,13.25,2024-10-02 11:25:30
157,Lemonade; Peach Tea; Pearl Milk Tea,17.25,2024-10-02 11:27:45
158,Black Tea; Thai Pearl Milk Tea; Pearl Milk Tea; Thai Pearl Milk Tea,22.95,2024-10-02 11:30:45
159,Iced Thai Tea (add Boba Pearls); Lemonade (add Honey Jelly); Peach Tea,19.7,2024-10-02 11:34:30
160,Green Tea (add Ice Cream); Thai Pearl Milk Tea,11.9,2024-10-02 11:35:15
161,Peach Tea (add Ice Cream); Halo Halo; Coffee Crema,20.7,2024-10-02 11:36:00
162,Pearl Milk Tea (add Ice Cream); Tiger Boba (add Boba Pearls); Peach Tea; Oolong Tea,24.95,2024-10-02 11:44:15
163,Strawberry Matcha (add Honey Jelly); Peach Tea; Thai Pearl Milk Tea; Green Tea; Oolong Tea,29.05,2024-10-02 11:46:30
164,Iced Thai Tea,6.75,2024-10-02 11:48:00
165,Strawberry Matcha; Green Honey Tea; Coffee Milk Tea; Iced Thai Tea; Black Honey Tea,29.2,2024-10-02 11:50:15
166,Thai Pearl Milk Tea,6.25,2024-10-02 11:51:45
167,Green Tea (add Pudding); Fresh Matcha,11.65,2024-10-02 11:56:15
168,Black Tea,4.65,2024-10-02 11:57:00
169,Green Tea (add Pudding); Fresh Matcha (add Pudding); Pearl Milk Tea; Strawberry Matcha; Black Tea,29.35,2024-10-02 12:03:45
170,Green Honey Tea (add Honey Jelly); Peach Tea (add Boba Pearls); Peach Tea; Halo Halo,25.8,2024-10-02 12:11:15
171,Pearl Milk Tea (add Ice Cream); Iced Thai Tea (add Pudding); Black Tea (add Ice Cream); Thai Pearl Milk Tea; Tiger Boba,32.7,2024-10-02 12:14:15
172,Lemonade,5.2,2024-10-02 12:19:30
173,Lemonade (add Ice Cream); Halo Halo (add Pudding); Iced Thai Tea,20.65,2024-10-02 12:29:15
174,Oolong Tea; Green Honey Tea; Oolong Tea; Thai Pearl Milk Tea; Oolong Tea,25.05,2024-10-02 12:33:00
175,Halo Halo (add Honey Jelly); Fresh Matcha,13.95,2024-10-02 12:36:45
176,Tiger Boba; Halo Halo,13.45,2024-10-02 12:37:30
177,Thai Pearl Milk Tea (add Honey Jelly); Black Tea (add Honey Jelly); Fresh Matcha,18.65,2024-10-02 12:41:15
178,Coffee Milk Tea,6.25,2024-10-02 12:42:45
179,Green Honey Tea (add Boba Pearls); Coffee Crema; Black Tea; Green Honey Tea,21.6,2024-10-02 12:56:15
180,Peach Tea (add Honey Jelly); Black Honey Tea (add Honey Jelly); Iced Thai Tea; Pearl Milk Tea; Peach Tea,31.4,2024-10-02 12:57:00
181,Coffee Milk Tea (add Honey Jelly); Coffee Milk Tea (add Boba Pearls); Tiger Boba (add Honey Jelly); Black Tea; Oolong Tea,30.55,2024-10-02 12:58:30
182,Peach Tea (add Pudding); Fresh Matcha; Black Honey Tea,18.1,2024-10-02 13:02:15
183,Peach Tea (add Pudding); Tiger Boba; Iced Thai Tea; Pearl Milk Tea,26.05,2024-10-02 13:03:45
184,Green Honey Tea (add Ice Cream); Oolong Tea,10.5,2024-10-02 13:12:45
185,Tiger Boba,6.5,2024-10-02 13:15:45
186,Black Honey Tea (add Boba Pearls); Strawberry Matcha (add Honey Jelly); Strawberry Matcha (add Honey Jelly); Green Tea,24.75,2024-10-02 13:16:30
187,Pearl Milk Tea,5.8,2024-10-02 13:18:00
188,Black Honey Tea (add Honey Jelly); Black Honey Tea (add Pudding); Oolong Tea (add Ice Cream); Thai Pearl Milk Tea,23.1,2024-10-02 13:21:00
189,Green Honey Tea; Tiger Boba; Oolong Tea; Tiger Boba,22.5,2024-10-02 13:24:45
190,Halo Halo (add Honey Jelly); Coffee Milk Tea (add Boba Pearls); Black Tea; Fresh Matcha; Pearl Milk Tea,31.4,2024-10-02 13:25:30
191,Thai Pearl Milk Tea (add Pudding); Black Honey Tea (add Pudding); Halo Halo (add Pudding); Halo Halo,27.25,2024-10-02 13:26:15
192,Tiger Boba,6.5,2024-10-02 13:27:00
193,Iced Thai Tea (add Honey Jelly); Pearl Milk Tea,13.3,2024-10-02 13:36:45
194,Black Tea,4.65,2024-10-02 13:39:00
195,Coffee Milk Tea (add Ice Cream); Green Honey Tea (add Ice Cream); Black Tea,17.75,2024-10-02 13:39:45
196,Fresh Matcha (add Boba Pearls); Oolong Tea (add Boba Pearls); Green Tea (add Pudding); Black Honey Tea,22.65,2024-10-02 13:40:30
197,Halo Halo (add Ice Cream); Halo Halo (add Ice Cream); Green Tea; Black Honey Tea,25.4,2024-10-02 13:41:15
198,Pearl Milk Tea (add Ice Cream); Tiger Boba (add Ice Cream); Tiger Boba (add Boba Pearls); Oolong Tea; Black Tea,30.85,2024-10-02 13:46:30
199,Coffee Milk Tea (add Honey Jelly); Black Honey Tea (add Honey Jelly); Strawberry Matcha (add Boba Pearls); Lemonade; Thai Pearl Milk Tea,31.3,2024-10-02 13:48:45
200,Thai Pearl Milk Tea (add Pudding); Coffee Milk Tea; Lemonade; Lemonade,23.65,2024-10-02 13:56:15
201,Halo Halo,6.95,2024-10-02 13:58:30
